Word	Katakana	Emotion	
浮かれる	ウカレル	楽興幸	
浮き足立つ	ウキアシタツ	怖ふ緊	
うきうきする	ウキウキスル	楽喜幸	
浮き立つ	ウキタツ	楽興幸	
憂き目	ウキメ	辛悲が	
憂さ	ウサ	鬱	
胡散臭い	ウサンクサイ	嫌	
後ろめたい	ウシロメタイ	き	
後ろめたさ	ウシロメタサ	き	
薄気味悪い	ウスキミワルイ	ふ	
薄汚い	ウスギタナイ	見Ｆ	
うずうず	ウズウズ	興	
打ち萎れる	ウチシオレル	情	
打ち拉がれる	ウチヒシガレル	情	
有頂天	ウチョウテン	喜興	
鬱気	ウッキ	鬱	
鬱屈	ウックツ	鬱	
鬱散	ウッサン	楽	
鬱積	ウッセキ	不	
鬱陶しい	ウットウシイ	嫌Ｆ鬱	
鬱陶しさ	ウットウシサ	嫌Ｆ鬱	
うっとり	ウットリ	幸動	
鬱憤	ウップン	怒恨不	
鬱	ウツ	鬱	
鬱鬱と	ウツウツト	鬱	
俯き	ウツムキ	ふ情心	
俯く	ウツムク	情	
鬱悶	ウツモン	苦鬱	
虚	ウツロ	失情	
疎ましい	ウトマシイ	嫌Ｆ	
疎む	ウトム	嫌Ｆ	
疎んじる	ウトンジル	嫌Ｆ	
疎んずる	ウトンズル	嫌Ｆ	
美味い	ウマイ	喜好幸	
旨い	ウマイ	喜好幸	
上手い	ウマイ	喜尊	
呻き声	ウメキゴエ	苦	
呻く	ウメク	苦	
敬う	ウヤマウ	尊	
うら悲しい	ウラガナシイ	悲	
うら淋しい	ウラサビシイ	寂	
うら寂しい	ウラサビシイ	寂	
恨み	ウラミ	恨Ｆ	
恨みがましい	ウラミガマシイ	恨Ｆ	
恨む	ウラム	恨Ｆ	
恨めしい	ウラメシイ	恨Ｆ	
恨めしがる	ウラメシガル	恨Ｆ	
恨めしく思う	ウラメシクオモウ	恨Ｆ	
羨ましい	ウラヤマシイ	願	
羨ましがる	ウラヤマシガル	願	
羨む	ウラヤム	願	
五月蝿い	ウルサイ	Ｆ嫌	
麗しい	ウルワシイ	動	
憂い	ウレイ	鬱辛苦切	
愁い	ウレイ	ふ心	
愁え	ウレイ	ふ心	
憂える	ウレエル	ふ心	
嬉しい	ウレシイ	喜幸	
嬉しかった	ウレシカッタ	喜幸	
嬉しがらせ	ウレシガラセ	喜幸	
嬉しがらせる	ウレシガラセル	喜幸	
嬉しがる	ウレシガル	喜幸	
嬉しさ	ウレシサ	喜幸	
嬉し泣き	ウレシナキ	喜幸	
嬉し涙	ウレシナミダ	喜幸	
嬉しみ	ウレシミ	喜幸	
憂わしい	ウレワシイ	情	
狼狽える	ウロタエル	驚困	
上擦る	ウワズル	興焦	
うんざり	ウンザリ	嫌Ｆ	
詠嘆	エイタン	動	
笑顔	エガオ	喜楽幸	
依怙贔屓	エコヒイキ	嫌Ｆ不	
えッ	エッ	驚あ	
悦	エツ	喜	
笑壺に入る	エツボニハイル	喜	
悦楽	エツラク	喜楽	
恵比寿顔	エビスガオ	幸	
笑み	エミ	喜楽幸	
笑む	エム	喜楽幸	
厭悪	エンオ	嫌	
怨恨	エンコン	恨	
怨嗟	エンサ	恨	
怨色	エンショク	恨	
えーっ	エーッ	驚あ	
おいおい	オイオイ	悲あ	
美味しい	オイシイ	幸喜	
謳歌	オウカ	幸	
嘔吐	オウト	苦嫌Ｆ	
懊悩	オウノウ	悩	
大恥	オウハジ	恥	
大喜び	オウヨロコビ	喜	
嗚咽	オエツ	悲辛	
おぉ	オォ	動驚	
おお	オオ	動驚	
男男しい	オオシイ	誇	
岡惚れ	オカボレ	好切	
岡焼き	オカヤキ	不ふ妬	
御気に入り	オキニイリ	好	
お気に入り	オキニハイリ	好	
臆する	オクスル	た怖	
臆病	オクビョウ	怖	
臆面	オクメン	怖	
臆面もなく	オクメンモナク	Ｆ	
怒らせる	オコラセル	怒	
怒り出す	オコリダス	怒	
怒り付ける	オコリツケル	怒	
怒る	オコル	怒	
惜しい	オシイ	切不	
惜しがる	オシガル	残	
惜し気	オシゲ	残	
押し付けがましい	オシツケガマシイ	嫌Ｆ	
惜しむ	オシム	切不	
怖気付く	オジケツク	怖	
汚辱	オジョク	見	
恐る恐る	オソルオソル	怖	
恐れ	オソレ	怖	
恐れ入る	オソレイル	尊謝	
恐れ多い	オソレオオイ	感謝	
恐れる	オソレル	ふ怖	
恐ろしい	オソロシイ	ふ怖	
恐ろしがる	オソロシガル	ふ怖	
恐ろしさ	オソロシサ	ふ怖	
おぞましい	オゾマシイ	嫌Ｆ	
落ち着かない	オチツカナイ	ふ心	
落ち着き	オチツキ	安	
落ち着き払う	オチツキハラウ	安	
落ち着く	オチツク	安	
落ち着ける	オチツケル	安	
おっ	オッ	驚	
おっかない	オッカナイ	怖	
躍り上がる	オドリアガル	喜驚	
おどろおどろしい	オドロオドロシイ	怖嫌Ｆ	
驚かす	オドロカス	驚	
驚き	オドロキ	驚	
驚き呆れる	オドロキアキレル	驚あ	
驚き入る	オドロキイル	驚	
驚く	オドロク	驚	
戦き	オノノキ	怖	
戦く	オノノク	怖興	
怯え	オビエ	怖	
怯え切る	オビエキル	怖	
怯える	オビエル	怖	
思し召す	オボシメス	尊	
溺れる	オボレル	苦辛興願	
怖めず臆せず	オメズオクセズ	誇	
おめでたい	オメデタイ	祝	
おめでとう	オメデトウ	祝	
おもいがけない	オモイガケナイ	驚	
思い屈する	オモイクッスル	鬱	
思い焦がれる	オモイコガレル	切苦鬱	
思い詰める	オモイツメル	ふ悩	
思い悩む	オモイナヤム	ふ悩	
思い残す	オモイノコス	願不	
思いの外	オモイノホカ	驚	
思い惑う	オモイマドウ	悩	
思い迷う	オモイマヨウ	悩	
思いも寄らず	オモイモヨラズ	驚	
思いも寄らない	オモイモヨラナイ	驚	
思いも寄らぬ	オモイモヨラヌ	驚	
思い遣り	オモイヤリ	親好	
思い遣る	オモイヤル	親好	
思い煩う	オモイワズラウ	悩苦	
重苦しい	オモクルシイ	苦	
重苦しさ	オモクルシサ	苦	
面白い	オモシロイ	幸楽	
面白かった	オモシロカッタ	幸楽	
面白がる	オモシロガル	幸楽	
面白くない	オモシロクナイ	不	
面憎い	オモニクイ	憎	
重荷を下ろす	オモニヲオロス	安気	
面映い	オモハユイ	恥	
おもろい	オモロイ	楽幸	
重んじる	オモンジル	尊	
親心	オヤゴコロ	心	
おろおろ	オロオロ	焦心	
愚か	オロカ	失情あ	
おろかしい	オロカシイ	失情あ	
愚かしい	オロカシイ	失情あ	
恩愛	オンアイ	情親好	
恩寵	オンチョウ	尊感	
怨念	オンネン	恨	
快感	カイカン	安気	
怪奇	カイキ	嫌Ｆ	
懐旧	カイキュウ	親寂安	
懐郷	カイキョウ	寂安	
懐古	カイコ	親寂安	
悔恨	カイコン	悔不	
悔悟	カイゴ	悔情	
