Word	Katakana	Emotion	
薄気味悪い	ウスキミワルイ	不	
薄汚い	ウスギタナイ	不	
うずうず	ウズウズ	興	
打ち萎れる	ウチシオレル	残	
打ち拉がれる	ウチヒシガレル	残	
有頂天	ウチョウテン	誇	
鬱気	ウッキ	鬱	
鬱屈	ウックツ	鬱	
鬱散	ウッサン	鬱	
鬱積	ウッセキ	鬱	
鬱陶しい	ウットウシイ	不嫌	
鬱陶しさ	ウットウシサ	不嫌	
うっとり	ウットリ	好安	
鬱憤	ウップン	怒恨不	
鬱	ウツ	鬱	
鬱鬱と	ウツウツト	鬱	
俯き	ウツムキ	鬱悩辛苦ふ	
俯く	ウツムク	鬱悩辛苦ふ	
鬱悶	ウツモン	悩苦辛鬱ふ	
虚	ウツロ	鬱	
疎ましい	ウトマシイ	嫌	
疎む	ウトム	嫌	
疎んじる	ウトンジル	嫌	
疎んずる	ウトンズル	嫌	
美味い	ウマイ	幸	
旨い	ウマイ	幸	
上手い	ウマイ	動	
呻き声	ウメキゴエ	苦	
呻く	ウメク	苦	
敬う	ウヤマウ	尊	
うら悲しい	ウラガナシイ	悲	
うら淋しい	ウラサビシイ	寂	
うら寂しい	ウラサビシイ	寂	
恨み	ウラミ	恨	
恨みがましい	ウラミガマシイ	恨	
恨む	ウラム	恨	
恨めしい	ウラメシイ	恨憎残情	
恨めしがる	ウラメシガル	恨憎残情	
恨めしく思う	ウラメシクオモウ	恨憎残情	
羨ましい	ウラヤマシイ	不妬	
羨ましがる	ウラヤマシガル	不妬	
羨む	ウラヤム	不妬	
五月蝿い	ウルサイ	不怒	
麗しい	ウルワシイ	好	
憂い	ウレイ	悲辛苦	
愁い	ウレイ	心悲	
愁え	ウレイ	心悲	
憂える	ウレエル	心	
嬉しい	ウレシイ	喜	
嬉しかった	ウレシカッタ	喜	
嬉しがらせ	ウレシガラセ	喜	
嬉しがらせる	ウレシガラセル	喜	
嬉しがる	ウレシガル	喜	
嬉しさ	ウレシサ	喜	
嬉し泣き	ウレシナキ	喜	
嬉し涙	ウレシナミダ	喜	
嬉しみ	ウレシミ	喜	
憂わしい	ウレワシイ	憐	
狼狽える	ウロタエル	驚焦	
上擦る	ウワズル	興怒	
うんざり	ウンザリ	不嫌	
詠嘆	エイタン	動	
笑顔	エガオ	幸安	
依怙贔屓	エコヒイキ	不嫌	
えッ	エッ	驚	
悦	エツ	喜	
笑壺に入る	エツボニハイル	喜	
悦楽	エツラク	喜楽	
恵比寿顔	エビスガオ	喜楽安	
笑み	エミ	幸安	
笑む	エム	幸安	
厭悪	エンオ	嫌恨不	
怨恨	エンコン	恨	
怨嗟	エンサ	恨	
怨色	エンショク	恨	
えーっ	エーッ	驚	
おいおい	オイオイ	あ見	
美味しい	オイシイ	幸	
謳歌	オウカ	幸楽喜	
嘔吐	オウト	辛苦	
懊悩	オウノウ	悩苦	
大恥	オウハジ	恥	
大喜び	オウヨロコビ	喜	
嗚咽	オエツ	苦辛	
おぉ	オォ	驚	
おお	オオ	驚	
男男しい	オオシイ	興	
岡惚れ	オカボレ	好	
岡焼き	オカヤキ	妬	
御気に入り	オキニイリ	好	
お気に入り	オキニハイリ	好	
臆する	オクスル	た	
臆病	オクビョウ	た焦驚	
臆面	オクメン	た	
臆面もなく	オクメンモナク	不	
怒らせる	オコラセル	怒	
怒り出す	オコリダス	怒	
怒り付ける	オコリツケル	怒	
怒る	オコル	怒	
惜しい	オシイ	悔	
惜しがる	オシガル	残	
惜し気	オシゲ	残	
押し付けがましい	オシツケガマシイ	不嫌	
惜しむ	オシム	残悲	
怖気付く	オジケツク	怖	
汚辱	オジョク	怒不	
恐る恐る	オソルオソル	怖	
恐れ	オソレ	恐怖	
恐れ入る	オソレイル	恐	
恐れ多い	オソレオオイ	恐	
恐れる	オソレル	怖	
恐ろしい	オソロシイ	怖	
恐ろしがる	オソロシガル	怖	
恐ろしさ	オソロシサ	怖	
おぞましい	オゾマシイ	怖嫌不	
落ち着かない	オチツカナイ	ふ焦あ	
落ち着き	オチツキ	穏	
落ち着き払う	オチツキハラウ	穏	
落ち着く	オチツク	穏	
落ち着ける	オチツケル	穏	
おっ	オッ	驚	
おっかない	オッカナイ	怖	
躍り上がる	オドリアガル	楽	
おどろおどろしい	オドロオドロシイ	怖不嫌	
驚かす	オドロカス	驚	
驚き	オドロキ	驚	
驚き呆れる	オドロキアキレル	あ驚	
驚き入る	オドロキイル	驚	
驚く	オドロク	驚	
戦き	オノノキ	怖	
戦く	オノノク	怖興	
怯え	オビエ	怖驚	
怯え切る	オビエキル	怖	
怯える	オビエル	怖	
思し召す	オボシメス	尊	
溺れる	オボレル	苦辛好	
怖めず臆せず	オメズオクセズ	穏	
おめでたい	オメデタイ	祝	
おめでとう	オメデトウ	祝	
おもいがけない	オモイガケナイ	驚	
思い屈する	オモイクッスル	鬱	
思い焦がれる	オモイコガレル	尊	
思い詰める	オモイツメル	鬱悩	
思い悩む	オモイナヤム	鬱苦	
思い残す	オモイノコス	悔	
思いの外	オモイノホカ	驚	
思い惑う	オモイマドウ	困	
思い迷う	オモイマヨウ	困	
思いも寄らず	オモイモヨラズ	驚	
思いも寄らない	オモイモヨラナイ	驚	
思いも寄らぬ	オモイモヨラヌ	驚	
思い遣り	オモイヤリ	安親	
思い遣る	オモイヤル	安親	
思い煩う	オモイワズラウ	悩苦	
重苦しい	オモクルシイ	苦不	
重苦しさ	オモクルシサ	苦不	
面白い	オモシロイ	楽	
面白かった	オモシロカッタ	楽	
面白がる	オモシロガル	楽	
面白くない	オモシロクナイ	不	
面憎い	オモニクイ	嫌恨	
重荷を下ろす	オモニヲオロス	安	
面映い	オモハユイ	恥	
おもろい	オモロイ	楽	
重んじる	オモンジル	尊	
親心	オヤゴコロ	親好尊安	
おろおろ	オロオロ	焦ふ	
愚か	オロカ	見あ	
おろかしい	オロカシイ	見あ	
愚かしい	オロカシイ	見あ	
恩愛	オンアイ	好親安	
恩寵	オンチョウ	尊親	
怨念	オンネン	怖恨	
快感	カイカン	気	
怪奇	カイキ	嫌怖	
懐旧	カイキュウ	安親	
懐郷	カイキョウ	安親	
懐古	カイコ	安親	
悔恨	カイコン	悔恨	
悔悟	カイゴ	悔	
快哉	カイサイ	気	
快楽	カイラク	気楽幸	
顔を赤らめる	カオオアカラメル	恥	
顔を隠す	カオオカクス	恥	
顔を曇らせる	カオオクモラセル	不	
顔をしかめる	カオオシカメル	怒	
顔から火が出る	カオカラヒガデル	恥	
顔が火照る	カオガホテル	恥	
掻き暗れる	カキクレル	鬱悲	
掻き毟られる	カキムシラレル	辛苦	
隔意	カクイ	恐	
鶴首	カクシュ	興	
嚇怒	カクド	怒	
かぐわしい	カグワシイ	好	
陰る	カゲル	鬱	
風向きが悪い	カザムキガワルイ	不	
畏まる	カシコマル	恐	
呵責	カシャク	怒	
片恨み	カタウラミ	恨	
肩を落とす	カタオオトス	残	
片想い	カタオモイ	切	
固くなる	カタクナル	ふ焦	
堅苦しい	カタクルシイ	不	
かたじけない	カタジケナイ	恐	
肩の荷が下りる	カタノニガオリル	安	
片腹痛い	カタハライタイ	辛苦	
肩身が狭い	カタミガセマイ	辛不	
肩身が広い	カタミガヒロイ	安親	
かちっと来る	カチットクル	怒	
勝ち誇る	カチホコル	誇	
隔靴掻痒	カッカソウヨウ	怒不	
かったるい	カッタルイ	不	
渇望	カツボウ	願	
哀しい	カナシイ	悲	
悲しい	カナシイ	悲	
悲しがる	カナシガル	悲	
悲しさ	カナシサ	悲	
