Word	Katakana	Emotion	
薄汚い	ウスギタナイ	嫌	
うずうず	ウズウズ	興	
打ち萎れる	ウチシオレル	失	
打ち拉がれる	ウチヒシガレル	失	
有頂天	ウチョウテン	喜	
鬱気	ウッキ	鬱	
鬱屈	ウックツ	鬱	
鬱散	ウッサン	気	
鬱積	ウッセキ	不	
鬱陶しい	ウットウシイ	嫌	
鬱陶しさ	ウットウシサ	嫌	
うっとり	ウットリ	楽気	
鬱憤	ウップン	不	
鬱	ウツ	鬱	
鬱鬱と	ウツウツト	鬱	
俯き	ウツムキ	鬱	
俯く	ウツムク	鬱	
鬱悶	ウツモン	鬱悩苦	
虚	ウツロ	鬱	
疎ましい	ウトマシイ	嫌	
疎む	ウトム	嫌	
疎んじる	ウトンジル	嫌	
疎んずる	ウトンズル	嫌	
美味い	ウマイ	喜	
旨い	ウマイ	喜	
上手い	ウマイ	尊	
呻き声	ウメキゴエ	怖	
呻く	ウメク	辛苦	
敬う	ウヤマウ	尊	
うら悲しい	ウラガナシイ	悲	
うら淋しい	ウラサビシイ	寂	
うら寂しい	ウラサビシイ	寂	
恨み	ウラミ	恨	
恨みがましい	ウラミガマシイ	恨	
恨む	ウラム	恨	
恨めしい	ウラメシイ	恨	
恨めしがる	ウラメシガル	恨	
恨めしく思う	ウラメシクオモウ	恨	
羨ましい	ウラヤマシイ	不	
羨ましがる	ウラヤマシガル	不	
羨む	ウラヤム	不	
五月蝿い	ウルサイ	嫌	
麗しい	ウルワシイ	尊	
憂い	ウレイ	鬱	
愁い	ウレイ	鬱	
愁え	ウレイ	鬱	
憂える	ウレエル	鬱	
嬉しい	ウレシイ	喜	
嬉しかった	ウレシカッタ	喜	
嬉しがらせ	ウレシガラセ	喜	
嬉しがらせる	ウレシガラセル	喜	
嬉しがる	ウレシガル	喜	
嬉しさ	ウレシサ	喜	
嬉し泣き	ウレシナキ	喜	
嬉し涙	ウレシナミダ	喜	
嬉しみ	ウレシミ	喜	
憂わしい	ウレワシイ	鬱	
狼狽える	ウロタエル	困	
上擦る	ウワズル	興	
うんざり	ウンザリ	Ｆ	
詠嘆	エイタン	動	
笑顔	エガオ	気	
依怙贔屓	エコヒイキ	嫌	
えッ	エッ	驚	
悦	エツ	喜	
笑壺に入る	エツボニハイル	喜	
悦楽	エツラク	喜	
恵比寿顔	エビスガオ	喜	
笑み	エミ	気	
笑む	エム	気	
厭悪	エンオ	嫌	
怨恨	エンコン	恨	
怨嗟	エンサ	恨	
怨色	エンショク	恨	
えーっ	エーッ	驚	
おいおい	オイオイ	あ	
美味しい	オイシイ	喜	
謳歌	オウカ	喜	
嘔吐	オウト	辛苦	
懊悩	オウノウ	悩	
大恥	オウハジ	恥	
大喜び	オウヨロコビ	喜	
嗚咽	オエツ	苦	
おぉ	オォ	驚	
おお	オオ	驚	
男男しい	オオシイ	尊	
岡惚れ	オカボレ	好	
岡焼き	オカヤキ	妬	
御気に入り	オキニイリ	喜楽	
お気に入り	オキニハイリ	好	
臆する	オクスル	怖	
臆病	オクビョウ	怖	
臆面	オクメン	ふ	
臆面もなく	オクメンモナク	尊	
怒らせる	オコラセル	怒	
怒り出す	オコリダス	怒	
怒り付ける	オコリツケル	怒	
怒る	オコル	怒	
惜しい	オシイ	残悔	
惜しがる	オシガル	残悔	
惜し気	オシゲ	残悔	
押し付けがましい	オシツケガマシイ	嫌	
惜しむ	オシム	残悔	
怖気付く	オジケツク	怖	
汚辱	オジョク	恥	
恐る恐る	オソルオソル	怖	
恐れ	オソレ	怖	
恐れ入る	オソレイル	怖	
恐れ多い	オソレオオイ	怖	
恐れる	オソレル	怖	
恐ろしい	オソロシイ	怖	
恐ろしがる	オソロシガル	怖	
恐ろしさ	オソロシサ	怖	
おぞましい	オゾマシイ	怖	
落ち着かない	オチツカナイ	興	
落ち着き	オチツキ	安	
落ち着き払う	オチツキハラウ	安	
落ち着く	オチツク	穏	
落ち着ける	オチツケル	穏	
おっ	オッ	驚	
おっかない	オッカナイ	怖	
躍り上がる	オドリアガル	喜驚	
おどろおどろしい	オドロオドロシイ	怖	
驚かす	オドロカス	驚	
驚き	オドロキ	驚	
驚き呆れる	オドロキアキレル	驚あ	
驚き入る	オドロキイル	驚	
驚く	オドロク	驚	
戦き	オノノキ	怖	
戦く	オノノク	怖	
怯え	オビエ	怖	
怯え切る	オビエキル	怖	
怯える	オビエル	怖	
思し召す	オボシメス	尊	
溺れる	オボレル	辛苦	
怖めず臆せず	オメズオクセズ	誇	
おめでたい	オメデタイ	祝	
おめでとう	オメデトウ	祝	
おもいがけない	オモイガケナイ	驚	
思い屈する	オモイクッスル	失	
思い焦がれる	オモイコガレル	好	
思い詰める	オモイツメル	悩	
思い悩む	オモイナヤム	悩	
思い残す	オモイノコス	悔	
思いの外	オモイノホカ	驚	
思い惑う	オモイマドウ	困	
思い迷う	オモイマヨウ	困	
思いも寄らず	オモイモヨラズ	驚	
思いも寄らない	オモイモヨラナイ	驚	
思いも寄らぬ	オモイモヨラヌ	驚	
思い遣り	オモイヤリ	心	
思い遣る	オモイヤル	心	
思い煩う	オモイワズラウ	心悩	
重苦しい	オモクルシイ	苦	
重苦しさ	オモクルシサ	苦	
面白い	オモシロイ	喜	
面白かった	オモシロカッタ	喜	
面白がる	オモシロガル	喜	
面白くない	オモシロクナイ	不	
面憎い	オモニクイ	憎	
重荷を下ろす	オモニヲオロス	安穏	
面映い	オモハユイ	恥	
おもろい	オモロイ	喜	
重んじる	オモンジル	尊	
親心	オヤゴコロ	心	
おろおろ	オロオロ	焦困悲	
愚か	オロカ	嫌見	
おろかしい	オロカシイ	嫌見	
愚かしい	オロカシイ	嫌見	
恩愛	オンアイ	好	
恩寵	オンチョウ	好	
怨念	オンネン	恨	
快感	カイカン	気	
怪奇	カイキ	怖	
懐旧	カイキュウ	切	
懐郷	カイキョウ	切	
懐古	カイコ	切	
悔恨	カイコン	悔	
悔悟	カイゴ	悔	
快哉	カイサイ	気	
